11,2025-11-26 16:24:58,in,1
11,2025-11-26 16:24:59,out,0
11,2025-11-26 16:24:59,in,1
11,2025-11-26 16:25:01,out,0
13,2025-11-26 16:25:02,in,1
14,2025-11-26 16:25:06,in,2
1,2025-12-03 14:41:32,in,1
2,2025-12-03 14:41:33,in,2
17,2025-12-03 14:41:41,in,3
25,2025-12-03 14:41:43,out,2
25,2025-12-03 14:41:44,in,3
25,2025-12-03 14:41:44,out,2
1,2025-12-11 21:55:11,in,1
18,2025-12-11 21:55:25,out,0
18,2025-12-11 21:55:25,in,1
25,2025-12-11 21:55:34,out,0
25,2025-12-11 21:55:34,in,1
25,2025-12-11 21:55:35,out,0
25,2025-12-11 21:55:36,in,1
28,2025-12-11 21:55:36,out,0
29,2025-12-11 21:55:38,out,-1
35,2025-12-11 21:55:55,in,0
